court_abbreviation,location_name,address,phone,email,hours
ncmd,North Carolina Middle District,"251 N.Main Street, Winston-Salem, N.C. 27101",336-734-2516,ecf@ncmd.uscourts.gov,"8am-5pm, M-F UNMANNED CLERK'S OFFICE"
ncwd,Western District of North Carolina,"Asheville Division: 309 US Courthouse Bldg., 100 Otis St., Asheville, NC 28801",1-866-851-1605,ecfhelp@ncwd.uscourts.gov,8:30 am - 12:30 pm and 1:30 pm - 4:00 pm
ncwd,Western District of North Carolina,"Statesville Division: 200 W. Broad St., Rm 304, Statesville, NC 28677",1-866-851-1605,ecfhelp@ncwd.uscourts.gov,8:30 am - 12:30 pm and 1:30 pm - 4:00 pm
ncwd,Western District of North Carolina,"Charlotte Division: 401 W. Trade St., Rm 1200, Charlotte, NC 28202",1-866-851-1605,ecfhelp@ncwd.uscourts.gov,8:30 am - 12:30 pm and 1:30 pm - 4:00 pm
ndd,Bruce M. Van Sickle U.S. Courthouse - Minot,"100 1st Street SW, Minot, ND 58701 (please send mail to Bismarck)",701-530-2300,,
ndd,District of North Dakota,"220 East Rosser Avenue, Bismarck, ND 58501",701-530-2300,ndd_clerksoffice@ndd.uscourts.gov,"8AM to 12 PM 1PM to 5PM, M-F"
ndd,Ronald N. Davies U.S. Courthouse - Grand Forks,"102 North 4th Street, Grand Forks, ND 58201 (please send mail to Fargo)",701-297-7000,,
ndd,Quentin N. Burdick U.S. Courthouse - Fargo,"655 1st Avenue North, Fargo, ND 58102",701-297-7000,ndd_clerksoffice@ndd.uscourts.gov,"8AM to 12 PM 1PM to 5PM, M-F"
nmid,Northern Mariana Islands,"1671 Gualo Rai Road, P.O. Box 500687, Saipan, MP 96950",(670) 237-1200,ecf-nmid@nmid.uscourts.gov,08:00 AM - 12:00 PM / 01:00 PM - 04:30 PM Monday to Friday
ohnd,Northern District of Ohio,"Carl B. Stokes United States Court House, 801 West Superior Avenue, Cleveland, Ohio, 44113",(216) 357-7000,OHNDdb_CleECF@ohnd.uscourts.gov,9 AM - 4 PM
ohnd,Northern District of Ohio Toledo,"114 United States Courthouse, 1716 Spielbusch Avenue, Toledo, Ohio 43604-1363",(419) 213-5500,OHNDdb_ToLECF@ohnd.uscourts.gov,9 AM - 4 PM
ohnd,Northern District of Ohio Youngstown,"337 U.S. Federal Building & Courthouse, 125 Market Street, Youngstown, Ohio 44503-1780",(330) 884-7400,OHNDdb_YngECF@ohnd.uscourts.gov,9 AM - 4 PM
ohnd,Northern District of Ohio Akron,"568 United States Courthouse, Federal Building, South Main Street, Akron, Ohio 44308-1813",(330) 252-6000,OHNDdb_AkrECF@ohnd.uscourts.gov,9 AM - 4 PM
ohsd,Southern District of Ohio,,,,"9AM - 4PM, M-F"
ohsd,Eastern Division At Columbus,"Joseph P. Kinneary U.S. Courthouse, Room 121, 85 Marconi Boulevard, Columbus, Ohio 43215",614-719-3000,,
ohsd,Western Division At Dayton,"Federal Building, Room 712, 200 West Second Street, Dayton, Ohio 45402",937-512-1400,,
ohsd,Western Division At Cincinnati,"Potter Stewart U.S. Courthouse, Room 103, 100 East Fifth Street, Cincinnati, Ohio 45202",513-564-7500,,
oked,Eastern District of Oklahoma,"101 North Fifth Street, Room 208 Muskogee, OK 74401",918-684-7920,CM-ECFIntake_OKED@oked.uscourts.gov,"8:00 AM - 4:30 PM, M-F"
oknd,U.S. District Court For the Northern District of Oklahoma,"333 W. 4th St., Rm. 411, Tulsa, OK 74103",CM/ECF Help Desk: (918)699-4844 or toll free (866)213-1957; General Court Information: (918)699-4700,CM-ECFIntake_OKND@oknd.uscourts.gov,"8:30AM - 4:30PM, Monday - Friday"
okwd,Western District of Oklahoma[live],"200 NW 4th Street, Room 1210; Oklahoma City, OK 73102",405-609-5000CM/ECF Helpdesk 609-5555 or 1-888-609-6593,helpdesk@okwd.uscourts.gov,"8:30 am to 4:30 pm, M-F"
ord,District of Oregon,"Mark Hatfield US Courthouse, 1000 SW Third Avenue, Suite 740, Portland, OR 97204-2908",(503) 326-8050,info@ord.uscourts.gov,"8:30 am to 4:30 pm, Monday thru Thursday, 9:30 am to 4:30 pm on Friday"
ord,Eugene Divisional Office,"Wayne L. Morse US Courthouse, 405 East Eight Avenue, Suite 2100, Eugene, OR 97401",(541) 431-4100,info@ord.uscourts.gov,"8:30 am to 4:30 pm, Monday thru Thursday, 9:30 am to 4:30 pm on Friday"
ord,Medford Divisional Office,"James A. Redden US Courthouse, 310 West Sixth Street, Room 201, Medford, OR 97501-2710",(541) 608-8777,info@ord.uscourts.gov,"8:30 am to 4:30 pm, Monday thru Thursday, 9:30 am to 4:30 pm on Friday"
paed,Eastern District of Pennsylvania,"601 Market Street, Room 2609, Philadelphia, PA 19106",1-866-323-4323,paed_clerksoffice@paed.uscourts.gov,"8:30AM - 5PM, M-F"
pamd,United States District Court For the Middle District of Pennsylvania,"Max Rosenn U.S. Courthouse, 197 South Main Street, Wilkes-Barre, PA 18701",570-207-5600,mdpacourt@pamd.uscourts.gov,Monday through Friday - 8:30 a.m. to 5:00 p.m.
pamd,United States District Court For the Middle District of Pennsylvania,"Sylvia H. Rambo United States Courthouse, 1501 North 6th St., Harrisburg, PA 17102",717-221-3920,mdpacourt@pamd.uscourts.gov,Monday through Friday - 8:30 a.m. to 5:00 p.m.
pamd,United States District Court For the Middle District of Pennsylvania,"Herman T. Schneebeli Federal Building & U.S. Courthouse, 240 West Third Street, Suite 218, Williamsport, PA 17701",570-323-6380,mdpacourt@pamd.uscourts.gov,Monday through Friday - 8:30 a.m. to 5:00 p.m.
pamd,Middle District of Pennsylvania,"William J. Nealon Federal Building & U.S. Courthouse, 235 N. Washington Avenue, P.O. Box 1148, Scranton, PA 18501-1148",570-207-5600,mdpacourt@pamd.uscourts.gov,Monday through Friday - 8:30 a.m. to 5:00 p.m.
pawd,Western District of Pennsylvania,Intake2_pawd@pawd.uscourts.gov,412-208-7500,,"8:30am - 4:30pm, M-F"
prd,District of Puerto Rico,"Clemente Ruiz-Nazario & Federico Degetau Federal Building 150 Carlos Chardon Street Hato Rey, P.R. 00918",General Information Phone Number (787) 772-3000,,The Clerk's Office is open Monday through Friday from 8:30 a.m. to 4:45 p.m. The file section closes at 4:30 p.m.
rid,District of Rhode Island,"One Exchange Terrace, Federal Building and Courthouse, Providence, RI 02903",(401)752-7200,ContactUs@rid.uscourts.gov,Monday thru Friday 9:00am to 4:30pm
scd,District of South Carolina,"Matthew J. Perry Courthouse; 901 Richland Street; Columbia, SC 29201",803.765.5816,,"8:30AM to 4:30PM, Monday through Friday"
scd,District of South Carolina - Florence,"McMillan Federal Building; 401 West Evans Street; Florence, SC 29501",843.676.3820,,"8:30AM to 4:30PM, Monday through Friday"
scd,District of South Carolina - Charleston,"Hollings Judicial Center; 85 Broad Street; Charleston, SC 29401",843.579.1401,,"8:30AM to 4:30PM, Monday through Friday"
scd,District of South Carolina - Greenville,"Carroll A. Campbell, Jr. Courthouse; 250 East North Street; Greenville, SC 29601",864.241.2700,,"8:30AM to 4:30PM, Monday through Friday"
sdd,District of South Dakota,"Central Division - 225 S. Pierre St., Room 405, Pierre, SD 57501",605-945-4600,,8:00 AM - 5:00 PM Central Time; Monday - Friday
sdd,District of South Dakota,"Northern Division - 102 4th Ave. SE, Aberdeen, SD 57402 (Unstaffed Clerk's Office)",605-945-4600 (Pierre Clerk's Office),,8:00 AM - 5:00 PM Central Time; Monday - Friday
sdd,District of South Dakota,"Southern Division - 400 S. Phillips Ave., Rm. 128, Sioux Falls, SD 57104",605-330-6600,,8:00 AM - 5:00 PM Central Time; Monday - Friday
sdd,District of South Dakota,"Western Division - 515 9th St., Room 302, Rapid City, SD 57701",605-399-6000,,8:00 AM - 5:00 PM Mountain Time; Monday - Friday
tned,U.S. District Court - Eastern District of Tennessee,"800 Market Street, Suite 130, Knoxville, TN 37902",865-545-4228,ecfhelp@tned.uscourts.gov,"8AM - 4PM (Eastern Time), M-F"
tned,U.S. District Court - Eastern District of Tennessee,"200 South Jefferson Street, Winchester, TN 37398",931-967-1444,ecfhelp@tned.uscourts.gov,"7AM - 4PM (Central Time), M-F"
tned,U.S. District Court - Eastern District of Tennessee,"900 Georgia Avenue, Rm 309, Chattanooga, TN 37402",423-752-5200,ecfhelp@tned.uscourts.gov,"8AM - 4PM (Eastern Time), M-F"
tned,U.S. District Court - Eastern District of Tennessee,"220 Depot Street, West, Greeneville, TN 37743",423-639-3105,ecfhelp@tned.uscourts.gov,"8AM - 4PM (Eastern Time), M-F"
tnmd,"Middle District of Tennessee, Columbia Division",,ECF Help Desk (615) 695-2888 or Toll Free (866) 720-8663,,
tnmd,"Middle District of Tennessee, Northeastern Division",,ECF Help Desk (615) 695-2888 or Toll Free (866) 720-8663,,
tnmd,Middle District of Tennessee,"719 Church Street, Suite 1300, Nashville, TN 37203",ECF Help Desk (615) 695-2888 or Toll Free (866) 720-8663,,8:00 a.m. to 5:00 p.m.
tnwd,Western District of Tennessee,"167 N. Main Street, Memphis, TN 38103",(901) 495-1200,cmecfhelpdesk@tnwd.uscourts.gov,8:30 am - 4:30 pm
txed,Sherman Division,"101 E. Pecan, Sherman, TX 75090",(903) 892-2921,,
txed,Beaumont Division,"300 Willow St., Beaumont, TX 77701",(409) 654-7000,,
txed,Tyler Division,"211 W. Ferguson St., Tyler, TX 75702",(903) 590-1000,,
txed,Eastern District of Texas [live],Eastern District of Texas consists of 6 divisional offices.,,,"8AM - 5PM, M-F"
txed,Marshall Division,"100 E. Houston, Marshall, TX 75670",(903) 935-2912,,
txed,Lufkin Division,"104 N. Third St., Lufkin, TX 75901",(936) 632-2739,,
txed,Texarkana Division,"500 N. Stateline, Texarkana, TX 75504",(903) 794-8561,,
txnd,Fort Worth Division,"501 West 10th Street, Room 310, Fort Worth, TX 76102-3673",(817) 850-6600,,"8:30AM - 4:30PM, M-F"
txnd,Abilene Division,"341 Pine Street, Room 2008, Abilene, TX 79601",(325) 677-6311,,"8:30AM - 12 Noon & 1:00PM - 4:30PM, M-F"
txnd,Dallas Division,"1100 Commerce St., Room 1452, Dallas, Texas 75242",(214) 753-2200,,"8:30AM - 4:30PM, M-F"
txnd,Amarillo Division,"205 E. Fifth Street, Room 133, Amarillo, TX 79101-1559",(806) 468-3800,,"8:30AM - 12 Noon & 1:00PM - 4:30PM, M-F"
txnd,Lubbock Division,"1205 Texas Avenue, Room 209, Lubbock, TX 79401-4091",(806) 472-7624,,"8:30AM - 12 Noon & 1:00PM - 4:30PM, M-F"
txnd,Wichita Falls Division,"1000 Lamar Street, Room 203, Wichita Falls, TX 76301",(940) 767-1902,,"8:30AM - 12 Noon & 1:00PM - 4:30PM, M-F"
txnd,Northern District of Texas,https://ecf-train.txnd.uscourts.gov/zilla/moved_zilla/chat.php?a=9a4bd&hfc=MQ__,,,
txnd,San Angelo Division,"33 E. Twohig Avenue, Room 202, San Angelo, TX 76903-6451",(325) 655-4506,,"8:30AM - 12 Noon & 1:00PM - 4:30PM, M-F"
txwd,Austin Division,"501 West 5th Street, Room 1100, Austin, TX 78701",(512) 916-5896,,"Monday - Friday, 8am - 5pm CT"
txwd,Ft. Cavazos Office,"MG Williams Judicial Center Building 5794, Tank Destroyer Blvd., Fort Cavazos, TX 76544",(254) 287-2710,,"Monday - Friday, 8am - 5pm CT"
txwd,Western District of Texas,txwd_ecf_help@txwd.uscourts.gov (Replies sent Mon.-Fri. 8AM-6PM CT),,,
txwd,El Paso Division,"525 Magoffin Avenue, Suite 105, El Paso, TX 79901",(915) 534-6725,,"Monday - Friday, 8am - 5pm MT"
txwd,Midland / Odessa Division,"200 East Wall, Room 107, Midland, TX 79701",(432) 686-4001,,"Monday - Friday, 8am - 5pm CT"
txwd,Del Rio Division,"111 East Broadway, Room L100, Del Rio, TX 78840",(830) 703-2054,,"Monday - Friday, 8am - 5pm CT"
txwd,Waco Division,"800 Franklin Avenue, Room 380, Waco, TX 76701",(254) 750-1501,,"Monday - Friday, 8am - 5pm CT"
txwd,Pecos Division,"410 South Cedar, Pecos, TX 79772",(432) 445-4228,,"Monday - Friday, 8am - 5pm CT"
txwd,Alpine Office,"2450 State Hwy. 118, Alpine, TX 79830",(432) 837-7323,,"Monday - Friday, 8am - 5pm CT"
txwd,San Antonio Division,"262 W. Nueva St., San Antonio, TX 78207",(210) 472-6550,,"Monday - Friday, 8am - 5pm CT"
utd,District of Utah,"351 S. West Temple, Salt Lake City, UT 84101",(801) 524-6100,utdecf_clerk@utd.uscourts.gov,"8:30 am - 4:30 pm, M-F"
vtd,District of Vermont,"11 Elmwood Avenue, Room 200, P.O. Box 945, Burlington, Vermont 05402-0945",(802) 951-8123,CMECFHelpDesk@vtd.uscourts.gov,"Monday - Friday, 8:30 a.m. - 5:00 p.m."
vid,District of the Virgin Islands,"Ron deLugo Fed. Bldg & Courthouse, 5500 Veterans Dr., Rm 310, St. Thomas, V.I. 00802",(340) 774-0640,,8:00 AM - 5:00 PM
vid,District of the Virgin Islands [st. Croix],"U.S. Courthouse, 3013 Estate Golden Rock, Suite 219, St. Croix, V.I. 00820",340-773-1130,,8:00 AM - 5:00 PM
vaed,Eastern District of Virginia -,,,,"8:30AM - 5:00PM, M-F"
vawd,Western District of Virginia - Roanoke Division (office 7),"210 Franklin Road, SW, Room 540, Roanoke, VA 24011",540-857-5100,,
vawd,Western District of Virginia - Danville Division (office 4),"700 Main Street, Room 202, Danville, VA 24541",434-793-7147,,
vawd,Western District of Virginia - Charlottesville Division (office 3),"255 W. Main Street, Room 304, Charlottesville, VA 22902",434-296-9284,,
vawd,Western District of Virginia,,540-857-5100,ecf@vawd.uscourts.gov,"8:30AM-4:30PM, M-F"
vawd,Western District of Virginia - Lynchburg Division (office 6),"1101 Court Street, Suite A66, Lynchburg, VA 24504",434-847-5722,,
vawd,Western District of Virginia - Abingdon Division (office 1),"180 W. Main Street, Room 104, Abingdon, VA 24210",276-628-5116,,
vawd,Western District of Virginia - Harrisonburg Division (office 5),"116 N. Main Street, Room 314, Harrisonburg, VA 22802",540-434-3181,,
waed,Eastern District of Washington,"920 West Riverside Avenue, Room 840 Spokane, WA 99201",Clerk's Office:1-509-458-3400CM/ECF Help Desk: 1-866-236-5100 or 1-509-458-3410,ecfinfo@waed.uscourts.gov,8:00 am - 5:00 pm
wawd,United States District Court For the Western District of Washington - Divisional Office,"1717 Pacific Avenue, Room 3100, Tacoma, WA 98402",253-882-3800,cmecf@wawd.uscourts.gov,"9:00 AM - 4:30 PM, Monday-Friday"
wawd,United States District Court For the Western District of Washington,"700 Stewart Street, Suite 2310, Seattle, WA 98101",206-370-8400,cmecf@wawd.uscourts.gov,"9AM - 4:30PM, M-F"
wvnd,Northern District of West Virginia - Elkins Division,"PO Box 1518, Elkins, WV 26241",(304) 636-1445,,
wvnd,Northern District of West Virginia,"500 W. Pike Street, Clarksburg, WV 26302",(304) 622-8513,ecf_helpdesk@wvnd.uscourts.gov,8:30-5:00
wvnd,Northern District of West Virginia - Wheeling Division,"PO Box 471, Wheeling, WV 26003",(304) 232-0011,,
wvnd,Northern District of West Virginia - Martinsburg Division,"217 W. King Street, Room 102, Martinsburg, WV 25401",(304) 267-8225,,
wvsd,Southern District of West Virginia,"300 Virginia Street East, Charleston, WV 25301",(304)-347-3111 for the CM/ECF Help Desk,wvsdml_cmecf@wvsd.uscourts.gov,"8:00AM - 5:00PM, Monday through Friday; except holidays"
wvsd,Southern District of West Virginia - Huntington Division,"Physical Address: 845 Fifth Avenue, Huntington, WV 25701Mailing Address: Room 101, 845 Fifth Avenue, Huntington, WV 25701",(304)529-5588,,
wvsd,Southern District of West Virginia - Beckley Division,"Physical Address: 110 North Heber Street, Beckley, WV 25801Mailing Address: Room 119, 110 North Heber Street, Beckley, WV 25801",(304)253-7481,,
wvsd,Southern District of West Virginia - Charleston Division,"Physical Address: 300 Virginia Street East, Charleston, WV 25301Mailing Address: Suite 2400, 300 Virginia Street East, Charleston, WV 25301",(304)347-3000,,
wvsd,Southern District of West Virginia - Bluefield Division,"Physical Address: 601 Federal Street, Bluefield, WV 24701Mailing Address: Room 1000, 601 Federal Street, Bluefield, WV 24701",(304)327-9798,,
wied,Eastern District of Wisconsin,"125 S. Jefferson St., Rm. 102 Green Bay, WI 54301-4541",920-884-3720,wied_clerks_gb@wied.uscourts.gov,8:30 am - 4:30 pm M-F
wied,Eastern District of Wisconsin,"517 East Wisconsin Avenue Rm 362 Milwaukee, WI 53202",414-297-3372,wied_clerks_milw@wied.uscourts.gov,8:30 am - 4:30 pm M-F
wiwd,Western District of Wisconsin,"120 North Henry Street, Madison, Wisconsin 53703",(866) 241-7123,wiwd_ecfhelp@wiwd.uscourts.gov,8:00 A.M. - 4:30 P.M.
wyd,District of Wyoming,"2120 Capitol Avenue, Room 2131, Cheyenne, WY 82001",307-433-2120,WyoDCClerks@wyd.uscourts.gov,8:00-12:00 and 1:00-5:00
wyd,District of Wyoming - Casper Division,"111 South Wolcott, Room 121, Casper, WY 82601",307-232-2620,WyoDCClerks@wyd.uscourts.gov,8:00-12:00 and 1:00-5:00
